figure	source_data_file	underlying_result
Figure 1	not_applicable_conceptual_workflow	Conceptual overview of the SSTBA inputs, frozen state scores, graph-boundary diagnostics and transfer workflow; no quantitative source data.
Figure 2	demo/mouse_master_spot_scores.tsv	Author-domain labels and three frozen spatial-state scores for all 14,147 spots across six mouse MI sections; the lower panels are section-level means derived directly from this master table.
Figure 3	Source_Data_Figure_4_domain34_boundary_by_spot.tsv; Source_Data_Figure_4_domain34_boundary_by_sample.tsv; Source_Data_Supplementary_Figure_S6_visium_graph_boundary_analysis.tsv; Source_Data_Supplementary_Figure_S6_visium_graph_boundary_edge_gradients.tsv	Domain 3-domain 4 boundary maps, six-nearest-neighbour interface fractions, contact-edge counts and edge-local state-score gradients.
Figure 4	Source_Data_Supplementary_Figure_S3_loso_robustness.tsv; Source_Data_Supplementary_Figure_S3_module_dropout_robustness.tsv; Source_Data_Supplementary_Figure_S3_random_signature_negative_control.tsv; Source_Data_Figure_7_model_benchmark.tsv	Leave-one-section-out direction preservation, module-dropout sensitivity, matched-random signature controls and transparent comparisons with simple baselines.
Figure 5	Source_Data_Figure_7_external_mouse_sections.tsv; Source_Data_Figure_7_author_area_gradients.tsv; Source_Data_Figure_7_kuppe_patient_sections.tsv; Source_Data_Figure_7_model_benchmark.tsv; Source_Data_Figure_7_boundary_transition_index.tsv	Frozen-score transfer across independent mouse studies and a prespecified nine-patient human MI panel.
Supplementary Figure S1	Source_Data_Figure_3_mouse_signature_scores_by_spot.tsv	Single-sample mouse signature score maps.
Supplementary Figure S2	Source_Data_Figure_4_domain34_boundary_by_spot.tsv	Single-sample domain 3/4 boundary maps.
Supplementary Figure S3	Source_Data_Supplementary_Figure_S3_loso_robustness.tsv; Source_Data_Supplementary_Figure_S3_module_dropout_robustness.tsv; Source_Data_Supplementary_Figure_S3_boundary_direction_robustness.tsv; Source_Data_Supplementary_Figure_S3_boundary_threshold_sensitivity.tsv; Source_Data_Supplementary_Figure_S3_random_signature_negative_control.tsv; Source_Data_Supplementary_Figure_S3_human_score_separation.tsv	Public-data-only robustness, falsification controls and human score-separation summaries.
Supplementary Figure S4	Source_Data_Supplementary_Figure_S4_spatial_statistics_effect_sizes.tsv; Source_Data_Supplementary_Figure_S4_spatial_autocorrelation.tsv; Source_Data_Supplementary_Figure_S4_domain_label_permutation.tsv; Source_Data_Supplementary_Figure_S4_boundary_distance_gradients.tsv; Source_Data_Supplementary_Figure_S4_key_gene_sensitivity.tsv	Sample-level effect sizes, spatial autocorrelation, domain-label permutation, signed boundary-distance gradients and key-gene sensitivity analyses.
Supplementary Figure S5	Source_Data_Supplementary_Figure_S5_score_only_state_domain_recovery.tsv; Source_Data_Supplementary_Figure_S5_celltype_adjusted_domain_contrasts.tsv; Source_Data_Supplementary_Figure_S5_celltype_adjusted_domain_contrasts_by_sample.tsv	Reviewer-requested audits testing dependence on author domain labels and cell-type marker composition.
Supplementary Figure S6	Source_Data_Supplementary_Figure_S6_data_provenance_qc.tsv; Source_Data_Supplementary_Figure_S6_module_detection_by_sample.tsv; Source_Data_Supplementary_Figure_S6_alternative_score_sensitivity_summary.tsv; Source_Data_Supplementary_Figure_S6_expression_matched_random_signature_controls.tsv; Source_Data_Supplementary_Figure_S6_visium_graph_boundary_analysis.tsv; Source_Data_Supplementary_Figure_S6_visium_graph_boundary_edge_gradients.tsv; Source_Data_Supplementary_Figure_S6_he_image_score_alignment.tsv	Final tutor-requested checks for provenance, alternative scoring, expression-matched random controls, graph-boundary confirmation and H&E image-intensity audit.
Supplementary Figure S7	Source_Data_Supplementary_Figure_S7_graph_smoothed_state_recovery.tsv; Source_Data_Supplementary_Figure_S7_graph_smoothed_states_by_spot.tsv; Source_Data_Supplementary_Figure_S7_human_spatial_null_summary.tsv; Source_Data_Supplementary_Figure_S7_human_spatial_null_distribution.tsv	Domain-independent graph-smoothed state recovery and human expression-matched spatial-null checks.
Supplementary Figure S8	Source_Data_Supplementary_Figure_S8_therapeutic_sensitivity.tsv; Source_Data_Supplementary_Figure_S8_rank_scenarios.tsv; Source_Data_Supplementary_Figure_S8_spatial_score_null.tsv; Source_Data_Supplementary_Figure_S8_pharmacology_source_concordance.tsv	Therapeutic-rank sensitivity, matched spatial-score nulls and pharmacology-source concordance.
Supplementary Figure S9	Source_Data_Supplementary_Figure_S9_kuppe_spatial_scores.tsv; Source_Data_Supplementary_Figure_S9_benchmark_sensitivity.tsv	Nine patient-level transition maps, module detection, leave-one-unit-out sensitivity and human transfer coverage.
