sample	stage	score	n_domain34_spots	signed_distance_definition	linear_slope_per_fullres_px	linear_intercept	slope_per_1000_fullres_px
D3_1	day3_mi	mechanical_border	1267	domain3_side_positive_domain4_side_negative	0.003142288744	1.019544	3.1422887
D3_1	day3_mi	fibroblast_scar_repair	1267	domain3_side_positive_domain4_side_negative	0.0008291076844	1.4552907	0.82910768
D3_1	day3_mi	immune_fibrotic_activation_proxy	1267	domain3_side_positive_domain4_side_negative	0.0004474990568	3.8071936	0.44749906
D3_2	day3_mi	mechanical_border	763	domain3_side_positive_domain4_side_negative	0.001317909307	0.12965468	1.3179093
D3_2	day3_mi	fibroblast_scar_repair	763	domain3_side_positive_domain4_side_negative	0.0008417336785	1.2989789	0.84173368
D3_2	day3_mi	immune_fibrotic_activation_proxy	763	domain3_side_positive_domain4_side_negative	0.0002436966412	1.1259065	0.24369664
D3_3	day3_mi	mechanical_border	1127	domain3_side_positive_domain4_side_negative	0.001589257356	0.58232373	1.5892574
D3_3	day3_mi	fibroblast_scar_repair	1127	domain3_side_positive_domain4_side_negative	0.000648205758	1.1956597	0.64820576
D3_3	day3_mi	immune_fibrotic_activation_proxy	1127	domain3_side_positive_domain4_side_negative	-3.754197016e-05	2.6449664	-0.03754197
D7_1	day7_mi	mechanical_border	681	domain3_side_positive_domain4_side_negative	0.001774170732	0.16163477	1.7741707
D7_1	day7_mi	fibroblast_scar_repair	681	domain3_side_positive_domain4_side_negative	-0.001586185251	6.4472124	-1.5861853
D7_1	day7_mi	immune_fibrotic_activation_proxy	681	domain3_side_positive_domain4_side_negative	-0.0002042364232	2.6169191	-0.20423642
D7_2	day7_mi	mechanical_border	1114	domain3_side_positive_domain4_side_negative	0.001942508444	1.6849805	1.9425084
D7_2	day7_mi	fibroblast_scar_repair	1114	domain3_side_positive_domain4_side_negative	-0.001307990714	5.3472659	-1.3079907
D7_2	day7_mi	immune_fibrotic_activation_proxy	1114	domain3_side_positive_domain4_side_negative	5.501762327e-06	3.2754354	0.0055017623
D7_3	day7_mi	mechanical_border	1108	domain3_side_positive_domain4_side_negative	0.001363828419	0.7117741	1.3638284
D7_3	day7_mi	fibroblast_scar_repair	1108	domain3_side_positive_domain4_side_negative	-0.0009270096014	6.1205555	-0.9270096
D7_3	day7_mi	immune_fibrotic_activation_proxy	1108	domain3_side_positive_domain4_side_negative	-7.764872155e-05	3.1877516	-0.077648722
