sample	stage	score	contrast	n_permutations	n_block_permutations	n_spatial_blocks	observed_margin	permutation_p_upper	null_p95	null_p99	block_permutation_p_upper	block_null_p95	block_null_p99
D3_1	day3_mi	mechanical_border	domain3_minus_domain4	5000	2000	14	3.5669183	0.00019996001	0.21815446	0.32357728	0.00049975012	1.5805491	1.9007472
D3_1	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	14	0.74514333	0.00019996001	0.14187898	0.19661954	0.00049975012	0.43437319	0.58432301
D3_1	day3_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	14	0.30635045	0.00059988002	0.14584551	0.20419255	0.14942529	0.46458283	0.57837755
D3_2	day3_mi	mechanical_border	domain3_minus_domain4	5000	2000	14	1.7232801	0.00019996001	0.21258222	0.30396712	0.021489255	1.4589597	1.8500997
D3_2	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	14	0.87158065	0.00019996001	0.238926	0.33299335	0.16541729	1.5327634	2.0726972
D3_2	day3_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	14	0.2324904	0.063587283	0.24772465	0.34013432	0.3938031	1.2344556	1.7125814
D3_3	day3_mi	mechanical_border	domain3_minus_domain4	5000	2000	12	2.0075753	0.00019996001	0.13820388	0.19521097	0.00049975012	0.99922537	1.2518059
D3_3	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	12	0.81638563	0.00019996001	0.12279888	0.17587229	0.0054972514	0.57200065	0.76754773
D3_3	day3_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	12	-0.014584877	0.57028594	0.13813509	0.19605563	0.53973013	0.36392736	0.511655
D7_1	day7_mi	mechanical_border	domain3_minus_domain4	5000	2000	15	3.4308911	0.00019996001	0.27424486	0.37779126	0.00049975012	1.5909167	2.1251691
D7_1	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	15	-2.3225228	1	0.27220885	0.39420661	1	1.6512553	2.3128993
D7_1	day7_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	15	-0.073985465	0.79084183	0.14978084	0.21626044	0.58870565	0.49734823	0.68032026
D7_2	day7_mi	mechanical_border	domain3_minus_domain4	5000	2000	12	3.3308295	0.00019996001	0.20108462	0.28612013	0.00049975012	2.0204313	2.6029529
D7_2	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	12	-2.6092939	1	0.23136386	0.31802971	0.990005	2.0868846	2.5717284
D7_2	day7_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	12	-0.067628884	0.83143371	0.11876436	0.16620581	0.59070465	0.43108212	0.60907068
D7_3	day7_mi	mechanical_border	domain3_minus_domain4	5000	2000	14	3.5912495	0.00019996001	0.21625778	0.30640299	0.00049975012	1.4497853	1.8496167
D7_3	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	5000	2000	14	-1.9769108	1	0.209939	0.29469917	0.9910045	1.6479974	2.4115246
D7_3	day7_mi	immune_fibrotic_activation_proxy	domain3_minus_domain4	5000	2000	14	0.20418438	0.00039992002	0.089865933	0.12525595	0.21889055	0.39512568	0.53132425
