sample	stage	score	n_spots	neighbor_radius_fullres_px	morans_i	gearys_c
D3_1	day3_mi	mechanical_border	2236	616.50411	0.68510685	0.26764093
D3_1	day3_mi	fibroblast_scar_repair	2236	616.50411	0.79735337	0.20087619
D3_1	day3_mi	immune_fibrotic_activation_proxy	2236	616.50411	0.85360079	0.15133003
D3_2	day3_mi	mechanical_border	2412	618.75	0.58993279	0.37424287
D3_2	day3_mi	fibroblast_scar_repair	2412	618.75	0.74067308	0.26550962
D3_2	day3_mi	immune_fibrotic_activation_proxy	2412	618.75	0.71173778	0.28199373
D3_3	day3_mi	mechanical_border	2426	618.75	0.68331227	0.26348806
D3_3	day3_mi	fibroblast_scar_repair	2426	618.75	0.80947338	0.16525966
D3_3	day3_mi	immune_fibrotic_activation_proxy	2426	618.75	0.83757278	0.15442347
D7_1	day7_mi	mechanical_border	2313	618.75	0.69849189	0.25457807
D7_1	day7_mi	fibroblast_scar_repair	2313	618.75	0.90349209	0.07022401
D7_1	day7_mi	immune_fibrotic_activation_proxy	2313	618.75	0.85860587	0.1153781
D7_2	day7_mi	mechanical_border	2403	618.75	0.76643277	0.20334472
D7_2	day7_mi	fibroblast_scar_repair	2403	618.75	0.91987623	0.082587547
D7_2	day7_mi	immune_fibrotic_activation_proxy	2403	618.75	0.85524268	0.12854888
D7_3	day7_mi	mechanical_border	2357	618.75	0.78590859	0.19999009
D7_3	day7_mi	fibroblast_scar_repair	2357	618.75	0.93366099	0.066358259
D7_3	day7_mi	immune_fibrotic_activation_proxy	2357	618.75	0.9037669	0.086195825
