sample	stage	graph_smoothing_alpha	n_spots	n_graph_edges	ari_vs_author_domains	nmi_vs_author_domains	same_state_edge_fraction	kmeans_inertia	domain3_best_cluster_f1	domain4_best_cluster_f1	mechanical_high_cluster	mechanical_high_domain3_precision	mechanical_high_domain3_recall	mechanical_high_domain3_f1	scar_high_cluster	scar_high_domain4_precision	scar_high_domain4_recall	scar_high_domain4_f1	immune_high_cluster	mechanical_scar_state_separable	mechanical_scar_graph_edges
D3_1	day3_mi	0.0	2236	7825	0.64649456	0.62466963	0.76051118	1460.0223	0.74717833	0.9057971	2	0.64901961	0.88031915	0.74717833	2	0.23529412	0.13468013	0.17130621	0	0	0
D3_1	day3_mi	0.2	2236	7825	0.6490557	0.63911116	0.80408946	1235.1865	0.74944568	0.90361446	3	0.64258555	0.89893617	0.74944568	3	0.24904943	0.14702581	0.18489767	0	0	0
D3_1	day3_mi	0.35	2236	7825	0.64850554	0.64534929	0.82466454	1099.0991	0.75219298	0.90012034	0	0.63992537	0.91223404	0.75219298	0	0.25373134	0.15263749	0.19060967	3	0	0
D3_1	day3_mi	0.5	2236	7825	0.63640053	0.63997044	0.8484345	993.29784	0.73978495	0.89036947	3	0.62093863	0.91489362	0.73978495	3	0.27256318	0.1694725	0.20899654	0	0	0
D3_2	day3_mi	0.0	2412	8429	0.34769135	0.33597812	0.64361134	2318.0989	0.54390244	0.44255319	2	0.446	0.696875	0.54390244	2	0.354	0.39954853	0.37539767	2	0	0
D3_2	day3_mi	0.2	2412	8429	0.37629632	0.36390669	0.7074386	1935.5774	0.5625	0.43442623	1	0.45703125	0.73125	0.5625	1	0.36523438	0.4221219	0.39162304	1	0	0
D3_2	day3_mi	0.35	2412	8429	0.39867313	0.38192862	0.74777554	1707.879	0.5804878	0.44696189	3	0.476	0.74375	0.5804878	3	0.37	0.41760722	0.39236479	3	0	0
D3_2	day3_mi	0.5	2412	8429	0.40051816	0.39076764	0.78562107	1536.2162	0.57926103	0.44902163	0	0.46820809	0.759375	0.57926103	0	0.37572254	0.44018059	0.40540541	0	0	0
D3_3	day3_mi	0.0	2426	8489	0.63236878	0.61755249	0.76734598	1590.0195	0.76868953	0.7961165	2	0.64836795	0.94384449	0.76868953	2	0.25964392	0.26355422	0.26158445	3	0	0
D3_3	day3_mi	0.2	2426	8489	0.64101848	0.6340035	0.80692661	1285.1931	0.76141258	0.79469027	2	0.63323782	0.95464363	0.76141258	2	0.27077364	0.28463855	0.27753304	1	0	0
D3_3	day3_mi	0.35	2426	8489	0.64999391	0.655642	0.84662504	1101.7428	0.75634518	0.78820375	3	0.6216968	0.96544276	0.75634518	3	0.28789986	0.31174699	0.29934924	2	0	0
D3_3	day3_mi	0.5	2426	8489	0.62717638	0.64798104	0.87678172	958.36801	0.74135091	0.78088368	1	0.59920107	0.97192225	0.74135091	1	0.2942743	0.33283133	0.31236749	2	0	0
D7_1	day7_mi	0.0	2313	8109	0.63461021	0.65276087	0.78160069	932.87075	0.80667594	0.87608069	1	0.69544365	0.9602649	0.80667594	2	0.96507937	0.80211082	0.87608069	2	1	433
D7_1	day7_mi	0.2	2313	8109	0.63636051	0.65126215	0.8084844	810.8097	0.80672269	0.87839771	2	0.69902913	0.95364238	0.80672269	1	0.959375	0.81002639	0.87839771	1	1	376
D7_1	day7_mi	0.35	2313	8109	0.64052707	0.64557732	0.82932544	743.50358	0.80617978	0.87839771	3	0.7	0.95033113	0.80617978	1	0.959375	0.81002639	0.87839771	1	1	348
D7_1	day7_mi	0.5	2313	8109	0.64233884	0.63899819	0.84696017	696.10926	0.7943662	0.87339972	2	0.69117647	0.93377483	0.7943662	0	0.94753086	0.81002639	0.87339972	0	1	311
D7_2	day7_mi	0.0	2403	8412	0.64725224	0.6516122	0.80361388	1155.3768	0.8502895	0.88443171	0	0.76261128	0.96074766	0.8502895	1	0.98931624	0.79965458	0.88443171	1	1	531
D7_2	day7_mi	0.2	2403	8412	0.6822583	0.67251578	0.83440323	997.6111	0.86297872	0.88909953	2	0.7921875	0.94766355	0.86297872	1	0.98529412	0.81001727	0.88909953	1	1	465
D7_2	day7_mi	0.35	2403	8412	0.69610244	0.67908774	0.8597242	904.563	0.86556808	0.89184061	0	0.80744337	0.93271028	0.86556808	2	0.98947368	0.81174439	0.89184061	2	1	430
D7_2	day7_mi	0.5	2403	8412	0.69933844	0.67753641	0.87541607	833.69178	0.86486486	0.89803555	3	0.81045752	0.9271028	0.86486486	2	0.97959184	0.82901554	0.89803555	2	1	370
D7_3	day7_mi	0.0	2357	8284	0.69860032	0.69600748	0.81916948	903.69911	0.82982792	0.90400746	1	0.83783784	0.8219697	0.82982792	2	0.98377282	0.8362069	0.90400746	2	1	591
D7_3	day7_mi	0.2	2357	8284	0.68935819	0.69012165	0.83570739	829.30509	0.8184438	0.89597001	0	0.83040936	0.80681818	0.8184438	2	0.98151951	0.82413793	0.89597001	2	1	542
D7_3	day7_mi	0.35	2357	8284	0.68005898	0.67979469	0.84717528	790.79885	0.81268012	0.88930582	2	0.8245614	0.80113636	0.81268012	1	0.97530864	0.81724138	0.88930582	1	1	510
D7_3	day7_mi	0.5	2357	8284	0.65678468	0.66007253	0.86600676	762.71954	0.78599222	0.87887324	2	0.808	0.76515152	0.78599222	1	0.96494845	0.80689655	0.87887324	1	1	452
