dataset	study_role	species	sample	patient	stage_region	file_role	url	expected_size	source_citation	local_path	bytes	sha256	retrieved_at_utc	status
KUPPE2022	human_external_primary	human	Visium_FZ_P14	14	FZ_P14	h5ad	https://datasets.cellxgene.cziscience.com/6867bedb-b30d-475c-9d4e-266f37b5e17e.h5ad	193358944	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 6867bedb-b30d-475c-9d4e-266f37b5e17e	data/raw/external_validation/KUPPE2022/Visium_FZ_P14/Visium_FZ_P14.h5ad	193358944	2948f6eeb4558df025f08bcf87ee79314c267997bded93b5762d75d9681d8130	2026-07-11T17:01:37+00:00	cached
KUPPE2022	human_external_primary	human	Visium_FZ_P18	18	FZ_P18	h5ad	https://datasets.cellxgene.cziscience.com/776d5574-44f4-4c64-8efb-277040f2afdd.h5ad	170017898	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 776d5574-44f4-4c64-8efb-277040f2afdd	data/raw/external_validation/KUPPE2022/Visium_FZ_P18/Visium_FZ_P18.h5ad	170017898	ac3d41d29192ae7c35dcc78f787402676580178d028a08929de7af9d2123fd71	2026-07-11T17:01:05+00:00	cached
KUPPE2022	human_external_primary	human	Visium_FZ_P20	20	FZ_P20	h5ad	https://datasets.cellxgene.cziscience.com/dbb17b4d-c887-4b5a-85e2-ca48d8a8c528.h5ad	201086222	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version dbb17b4d-c887-4b5a-85e2-ca48d8a8c528	data/raw/external_validation/KUPPE2022/Visium_FZ_P20/Visium_FZ_P20.h5ad	201086222	400b49abc84c5a098d7959e4b148ccb013b9f97c82c2de770bae5060c1857d02	2026-07-11T17:02:58+00:00	downloaded
KUPPE2022	human_external_primary	human	Visium_IZ_BZ_P2	2	IZ_BZ_P2	h5ad	https://datasets.cellxgene.cziscience.com/9081ff7f-a51a-43f5-83dc-11cdd2247ed2.h5ad	169491333	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 9081ff7f-a51a-43f5-83dc-11cdd2247ed2	data/raw/external_validation/KUPPE2022/Visium_IZ_BZ_P2/Visium_IZ_BZ_P2.h5ad	169491333	73303fc150ff693220f72d2f157a873b7c7b0b5c0f0fb60a3f98da0337156482	2026-07-11T17:02:41+00:00	downloaded
KUPPE2022	human_external_primary	human	Visium_RZ_BZ_P12	12	RZ_BZ_P12	h5ad	https://datasets.cellxgene.cziscience.com/ab705943-954a-48db-8d4b-42facbc6da3a.h5ad	198897702	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version ab705943-954a-48db-8d4b-42facbc6da3a	data/raw/external_validation/KUPPE2022/Visium_RZ_BZ_P12/Visium_RZ_BZ_P12.h5ad	198897702	1edfccc60875a17abf2037cb0caebc67dd59daacf940f2a1044417f554752d48	2026-07-11T17:01:05+00:00	cached
KUPPE2022	human_external_primary	human	Visium_RZ_BZ_P3	3	RZ_BZ_P3	h5ad	https://datasets.cellxgene.cziscience.com/67a7c158-a4bd-4fb4-ac31-69ab872c4c2b.h5ad	195126698	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 67a7c158-a4bd-4fb4-ac31-69ab872c4c2b	data/raw/external_validation/KUPPE2022/Visium_RZ_BZ_P3/Visium_RZ_BZ_P3.h5ad	195126698	d07688360dea8dc5bbce09881fe58553bbd8392049899b2d0c3c9f6944e6f0d1	2026-07-11T17:01:05+00:00	cached
KUPPE2022	human_external_primary	human	Visium_control_P1	1	control_P1	h5ad	https://datasets.cellxgene.cziscience.com/5262ff55-fd18-46cb-8e68-7cff5fd76c47.h5ad	167942670	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 5262ff55-fd18-46cb-8e68-7cff5fd76c47	data/raw/external_validation/KUPPE2022/Visium_control_P1/Visium_control_P1.h5ad	167942670	ac444526223be676f5e57439cccb028a1d1caa2fb69e14afd2d47ed7e3877b81	2026-07-11T17:01:37+00:00	downloaded
KUPPE2022	human_external_primary	human	Visium_control_P17	17	control_P17	h5ad	https://datasets.cellxgene.cziscience.com/889e6502-9eb4-4f8a-9d0b-b75bb7b506e8.h5ad	157674166	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 889e6502-9eb4-4f8a-9d0b-b75bb7b506e8	data/raw/external_validation/KUPPE2022/Visium_control_P17/Visium_control_P17.h5ad	157674166	1108cce5f0c76ffdb401d1d54de47b8e4d4991cb1c15468401d8a0f493df5c71	2026-07-11T17:01:05+00:00	cached
KUPPE2022	human_external_primary	human	Visium_control_P8	8	control_P8	h5ad	https://datasets.cellxgene.cziscience.com/6f7b96ec-bf1d-4414-9625-1ecaa8797e52.h5ad	161312916	Kuppe et al. Nature 2022; CZ CELLxGENE collection 8191c283-0816-424b-9b61-c3e1d6258a77; dataset version 6f7b96ec-bf1d-4414-9625-1ecaa8797e52	data/raw/external_validation/KUPPE2022/Visium_control_P8/Visium_control_P8.h5ad	161312916	dc00e2feb2f5866ccbc673e53c695afbde3bd806260ddde0887ef433a6a107fb	2026-07-11T17:01:48+00:00	downloaded
