signature_id	biological_axis	genes_human	genes_mouse	expected_pattern_in_project	use_in_model	confidence	status	source_context
CM_BZ1_TRANSITION	cardiomyocyte border-zone transitional response	NPPA; CLU; NPPB; ANKRD1	Nppa; Clu; Nppb; Ankrd1	Elevated in broader morphologically intact BZ-adjacent cardiomyocyte layer; expected to appear early after injury	Score BZ-like cardiomyocyte transition and distinguish from remote myocardium	medium	working	Calcagno BZ study defines BZ1 as Nppa+ Xirp2-; CLU appears in mFISH/marker context
CM_BZ2_MECHANICAL_EDGE	cardiomyocyte infarct-edge mechanotransduction response	NPPA; XIRP2; FLNC; XIRP1; VCL; ITGB1	Nppa; Xirp2; Flnc; Xirp1; Vcl; Itgb1	Enriched in thin infarct-edge layer with distorted CMs, reduced neighbor contact, and focal adhesion/cytoskeleton/sarcomere programs	Primary mechanical-instability score and BZ2 mapping axis	high	working	Calcagno BZ study defines BZ2 as Nppa+ Xirp2+ and notes FLNC/XIRP2 and mechanotransduction features
FAP_POSTN_PATHO_FIBROBLAST	pathogenic immune-associated fibroblast trajectory	FAP; POSTN; COL1A1; COL3A1; FN1; LOX; MEOX1; TNC	Fap; Postn; Col1a1; Col3a1; Fn1; Lox; Meox1; Tnc	Elevated in profibrotic niches, acute MI and chronic HF; expected to spatially associate with CCR2/IL1B macrophage axis	Main fibrotic risk score component	high	working	Amrute Nature 2024 identifies FAP/POSTN fibroblast trajectory and immune-fibroblast regulation
CTHRC1_REPARATIVE_CF	reparative cardiac fibroblast state	CTHRC1; CD200; POSTN; FN1; LOX; PTN; DDAH1	Cthrc1; Cd200; Postn; Fn1; Lox; Ptn; Ddah1	Expected to peak during early repair window and localize to wounded myocardium; may represent reparative scar formation rather than purely pathogenic fibrosis	Repair score; used to separate constructive scar from maladaptive fibrosis	high	working	Hernandez 2026 and GSE132144/GSE132146 describe Cthrc1+ reparative CFs and marker dynamics
MYOFIBROBLAST_CONTRACTILE	contractile myofibroblast activation	ACTA2; TAGLN; MYL9; TPM2; COL1A1; COL1A2	Acta2; Tagln; Myl9; Tpm2; Col1a1; Col1a2	Elevated in activated fibroblasts and scar-forming regions; partially overlaps smooth muscle/pericyte programs	Separate contractile myofibroblast state from FAP/POSTN matrifibrocyte-like state	medium	working	Canonical fibrosis/myofibroblast biology; needs dataset-specific specificity checks
CCR2_IL1B_MYLOID	CCR2 monocyte/macrophage inflammatory driver axis	CCR2; IL1B; CCL2; LST1; S100A8; S100A9; FCN1	Ccr2; Il1b; Ccl2; Lst1; S100a8; S100a9; Fcn1	Expected to spatially neighbor fibroblast activation zones and predict FAP/POSTN expansion	Immune-drive score; ligand source for IL1B signaling	high	working	Amrute Nature 2024 identifies CCR2 macrophage IL1B signaling to fibroblasts
TGFB_SIGNALING	profibrotic TGFβ response	TGFB1; TGFBR1; TGFBR2; SMAD2; SMAD3; SERPINE1; CCN2	Tgfb1; Tgfbr1; Tgfbr2; Smad2; Smad3; Serpine1; Ccn2	Elevated in biochemical fibrosis perturbation and ECM remodeling regions; may be broad and context-dependent	Biochemical profibrotic comparator; important for in vitro perturbation panel	medium	working	Canonical fibrosis pathway; EHT/chip models use TGFβ perturbation
ECM_REMODELING	extracellular matrix deposition and scar architecture	COL1A1; COL1A2; COL3A1; FN1; LOX; LUM; DCN; POSTN	Col1a1; Col1a2; Col3a1; Fn1; Lox; Lum; Dcn; Postn	Increases in scar, infarct, and activated fibroblast regions; expected to correlate with collagen readouts	Core matrix burden score and histology validation axis	high	working	Shared across Kuppe, Amrute, Hernandez, and in vitro fibrosis models
ENDOTHELIAL_INFLAMMATORY_FIBROSIS	endothelial inflammatory/fibrotic niche	PLVAP; ACKR1; CCL14; VWF; SELE; VCAM1	Plvap; Ackr1; Ccl14; Vwf; Sele; Vcam1	Expected in vascular/endocardial inflammatory routes and fibrosis-associated endothelial states	Contextual vascular-inflammation score; not primary endpoint in first model	medium	working	Lee 2025 HF GeoMx reports PLVAP/ACKR1/CCL14 endothelial subtype linked to fibrosis; Wunnemann 2025 highlights VWF in acute MI immune infiltration
HYPOXIA_ISCHEMIA	hypoxia and metabolic stress	HIF1A; VEGFA; LDHA; CA9; SLC2A1; BNIP3	Hif1a; Vegfa; Ldha; Car9; Slc2a1; Bnip3	Enriched in ischemic/IR injury and hypoxic organoid/EHT perturbation	Separate ischemic stress from mechanical and immune fibrosis drivers	medium	working	Canonical hypoxia module; must be calibrated in cardiac datasets
CM_ELECTRICAL_CALCIUM_FUNCTION	cardiomyocyte conduction and calcium-handling function	GJA1; SCN5A; CACNA1C; RYR2; ATP2A2; PLN; KCNJ2	Gja1; Scn5a; Cacna1c; Ryr2; Atp2a2; Pln; Kcnj2	Expected dysregulation in remodeling and in vitro IR/fibrosis models; direction may differ by gene and phase	Functional proxy paired with MEA/calcium/contractility readouts	medium	working	Used as translational bridge to functional outputs, not a pure spatial state marker
INJURY_STRESS_IMMEDIATE_EARLY	cardiac injury and acute stress response	FOS; JUN; EGR1; ATF3; HSPB1; MYH7	Fos; Jun; Egr1; Atf3; Hspb1; Myh7	Early broad stress response; useful to detect acute perturbation but not specific for BZ fibrosis	Control module to avoid overcalling generic stress as fibrosis	medium	working	General acute injury/stress biology; must be interpreted with timing
