axis	stage	direction_test	dropped_component	n_samples	mean_margin	min_margin	direction_preserved
mechanical_border	day3_mi	domain3_minus_domain4	none	3	2.43259	1.72328	True
mechanical_border	day3_mi	domain3_minus_domain4	z_CM_BZ1_TRANSITION	3	1.21982	0.794162	True
mechanical_border	day3_mi	domain3_minus_domain4	z_CM_BZ2_MECHANICAL_EDGE	3	1.21277	0.916979	True
mechanical_border	day7_mi	domain3_minus_domain4	none	3	3.45099	3.33083	True
mechanical_border	day7_mi	domain3_minus_domain4	z_CM_BZ1_TRANSITION	3	1.45292	1.33582	True
mechanical_border	day7_mi	domain3_minus_domain4	z_CM_BZ2_MECHANICAL_EDGE	3	1.99807	1.83862	True
fibroblast_scar_repair	day7_mi	domain4_minus_domain3	none	3	2.30291	1.97691	True
fibroblast_scar_repair	day7_mi	domain4_minus_domain3	z_FAP_POSTN_PATHO_FIBROBLAST	3	1.83183	1.59031	True
fibroblast_scar_repair	day7_mi	domain4_minus_domain3	z_ECM_REMODELING	3	1.73273	1.45643	True
fibroblast_scar_repair	day7_mi	domain4_minus_domain3	z_CTHRC1_REPARATIVE_CF	3	1.84225	1.60237	True
fibroblast_scar_repair	day7_mi	domain4_minus_domain3	z_MYOFIBROBLAST_CONTRACTILE	3	1.50192	1.28162	True
immune_fibrotic_activation	day7_mi	domain4_minus_domain3	none	3	1.32254	1.18061	True
immune_fibrotic_activation	day7_mi	domain4_minus_domain3	z_CCR2_IL1B_MYLOID	3	0.864782	0.69616	True
immune_fibrotic_activation	day7_mi	domain4_minus_domain3	z_TGFB_SIGNALING	3	0.928844	0.871046	True
immune_fibrotic_activation	day7_mi	domain4_minus_domain3	z_FAP_POSTN_PATHO_FIBROBLAST	3	0.851462	0.794006	True
