threshold_multiplier	stage	n_samples	mean_contact_pairs	mean_fraction_domain3_boundary	mean_fraction_domain4_boundary	mean_contact_delta_mechanical_domain4_minus_domain3	mechanical_expected_direction	mechanical_direction_preserved_all_samples	mean_contact_delta_scar_domain4_minus_domain3	scar_expected_direction	scar_direction_preserved_all_samples
1.10	day3_mi	3	496.667	0.5759	0.416945	-1.379	negative	True	-0.138757	negative	True
1.10	day7_mi	3	406	0.445683	0.398072	-1.72037	negative	True	0.754644	positive	True
1.20	day3_mi	3	496.667	0.5759	0.416945	-1.379	negative	True	-0.138757	negative	True
1.20	day7_mi	3	406	0.445683	0.398072	-1.72037	negative	True	0.754644	positive	True
1.35	day3_mi	3	496.667	0.5759	0.416945	-1.379	negative	True	-0.138757	negative	True
1.35	day7_mi	3	406	0.445683	0.398072	-1.72037	negative	True	0.754644	positive	True
1.50	day3_mi	3	496.667	0.5759	0.416945	-1.379	negative	True	-0.138757	negative	True
1.50	day7_mi	3	406	0.445683	0.398072	-1.72037	negative	True	0.754644	positive	True
1.75	day3_mi	3	1111.33	0.743547	0.592603	-1.48613	negative	True	-0.237677	negative	True
1.75	day7_mi	3	905	0.598118	0.574123	-1.9762	negative	True	0.83792	positive	True
